Základná škola,Košický,Michalovce,"ZŠ - Michalovce, J.Švermu",Jána Švermu 6,40.3
Základná škola,Košický,Michalovce,"ZŠ - Michalovce, Moskovská",Moskovská 1,28.2
Základná škola,Košický,Michalovce,"ZŠ - Michalovce, J.A.Komenského",Jána A. Komenského 1,20
Základná škola,Košický,Michalovce,"ZŠ - Michalovce, Školská",Školská 2,24.5
Základná škola,Košický,Michalovce,"ZŠ - Michalovce, Okružná",Okružná 17,55.1
Základná škola,Košický,Michalovce,"ZŠ - Michalovce, Krymská",Krymská 5,27
Základná škola,Košický,Michalovce,"ZŠ - Michalovce, Kpt.Nálepku",Kpt. Nálepku 16,41.6
Špeciálna základná škola int.,Košický,Michalovce,"SŠ int. - ŠZŠi - Michalovce, Školská",Školská 10,30
Gymnázium,Košický,Michalovce,"Gymnázium - Michalovce, Ľ.Štúra",Ľ. Štúra 26,43.9
Gymnázium,Košický,Spišská Nová Ves,"Gymnázium - Spiš.N.V., Javorová",Javorová 16,33.3
Základná škola,Košický,Ždaňa,"CZŠ sv.Košic. mučeníkov - Ždaňa, Jarmočná",Jarmočná 96/13,6.9
Základná škola,Košický,Smižany,"ZŠ Povýšenia sv. Kríža - Smižany, Smreková",Smreková 38,19.5
MŠ celodenná starostlivosť,Košický,Košice-Dargov. hrdinov,"Súkr. materská škola - Košice, Ovručská",Ovručská 14,2.7
Základná škola,Košický,Rožňava,"ZŠ Ref.kresť.cirkvi VJM - Rožňava, Kozmonautov",Kozmonautov 2,14.5
Gymnázium,Košický,Košice-Nad jazerom,"Súkr. Gymnázium - Košice, Dneperská",Dneperská 1,18.2
Základná škola,Košický,Košice-Juh,"ZŠ - Košice, Užhorodská",Užhorodská 39,16.4
Základná škola,Košický,Košice-Juh,"ZŠ - Košice, Staničná",Staničná 13,43.1
Základná škola,Košický,Košice-Juh,"ZŠ - Košice, Požiarnická",Požiarnická 3,27.4
Základná škola,Košický,Košice-Nad jazerom,"ZŠ J.Urbana - Košice, Jenisejská",Jenisejská 22,45.4
Základná škola,Košický,Košice-Juh,"ZŠ - Košice, Gemerská",Gemerská 2,24.9
Základná škola,Košický,Košice-Nad jazerom,"ZŠ - Košice, Družicová",Družicová 4,40.1
Základná škola,Košický,Košice-Nad jazerom,"ZŠ - Košice, Bukovecká",Bukovecká 17,12.8
Základná škola,Košický,Košice-Barca,"ZŠ - Košice, Abovská",Abovská 36,17.9
Špeciálna základná škola,Košický,Košice-Nad jazerom,"Špec. ZŠ - Košice, Rovníková",Rovníková 11,19.7
Stredná odborná škola,Košický,Košice-Nad jazerom,"Súkr.str.odborná škola - Košice, Bukovecká",Bukovecká 17,21.7
Špeciálna základná škola,Košický,Košice-Staré Mesto,"SŠ - ŠZŠ - Košice, Vojenská",Vojenská 13,33.9
Špeciálna základná škola,Košický,Košice-Sever,"Špec. ZŠ - Košice, Odborárska",Odborárska 2,19.5
MŠ celodenná starostlivosť,Košický,Košice-Staré Mesto,"Cirk. materská škola - Košice, Moyzesova",Moyzesova 8,11.7
Základná škola,Košický,Moldava nad Bodvou,"ZŠ a Gymnáziums VJM - Moldava n.B., Čsl.armády",Československej armády 15,40.7
Základná škola,Košický,Moldava nad Bodvou,"ZŠ - Moldava n.B., Čsl.armády",Československej armády 15,31
Gymnázium,Košický,Košice-Staré Mesto,"Ev. Gymnázium - Košice, Škultétyho",Škultétyho 10,40.3
Špeciálna základná škola,Košický,Trhovište,"Špec. ZŠ - Trhovište, Tichá",Tichá 50,14.2
Špeciálna základná škola,Košický,Vtáčkovce,Špec. ZŠ - Vtáčkovce,Vtáčkovce 2,13.3
Špeciálna základná škola,Košický,Rudňany,"SŠ - ŠZŠ - Rudňany, Zimné",Zimné 83,38
Špeciálna základná škola,Košický,Markušovce,"Špec. ZŠ - Markušovce, Michalská",Michalská 39,18
Špeciálna základná škola,Košický,Spišská Nová Ves,"SŠ - ŠZŠ - Spiš.N.V., J.Fabiniho",J. Fabiniho 3,34
Špeciálna základná škola,Košický,Krompachy,"Špec. ZŠ - Krompachy,  SNP",Ul. SNP 49,19.1
Špeciálna základná škola,Košický,Letanovce,"Špec. ZŠ - Letanovce, Slovenského raja",Slovenského raja 16,25.6
Špeciálna základná škola,Košický,Dobšiná,"SŠ - ŠZŠ - Dobšiná, Nová",Nová 803,23.5
Špeciálna základná škola,Košický,Trebišov,"Špec. ZŠ - Trebišov, M.R.Štefánika",M. R. Štefánika 83,22.1
Špeciálna základná škola,Košický,Pavlovce nad Uhom,"Špec. ZŠ - Pavlovce nad Uhom, Kapušianska",Kapušianska 2,16.3
Špeciálna základná škola,Košický,Sobrance,"Špec. ZŠ - Sobrance, Tyršova",Tyršova 1,16.8
Špeciálna základná škola,Košický,Sečovce,"Špec. ZŠ - Sečovce, SNP",SNP 827/53,22.8
Obchodná akadémia,Košický,Košice-Dargov. hrdinov,"Súkr.str.odborná škola - Košice, Postupimská",Postupimská 37,24.2
ZŠ I. stupeň,Košický,Stanča,"Cirk. ZŠ s MŠ - Stanča, Hlavná",Hlavná 137,2.8
Základná škola,Košický,Michalovce,"Cirk. ZŠ - Michalovce, Volgogradská",Volgogradská 2,13.5
Základná škola,Košický,Letanovce,"Cirk. ZŠ - Letanovce, Školská",Školská 55,25.9
Základná škola,Košický,Spišské Tomášovce,"ZŠ sv. Michala - Spiš.Tomášovce, Školská",Školská 1,11
Základná škola,Košický,Košice-Krásna,"ZŠ s MŠ sv.M. Križina - Košice, Rehoľná",Rehoľná 2,16.5
Stredná odborná škola,Košický,Michalovce,"SOŠ sv.Cyrila a Metoda - Michalovce, Tehliarska",Tehliarska 2,18.4
Špeciálna základná škola int.,Košický,Ždaňa,"SŠ int.- ŠZŠi - Ždaňa, Abovská",Abovská 244/18,23.8
Hotelová akadémia,Košický,Košice-Juh,"HA - Košice, Južná trieda",Južná trieda 10,49
Základná škola,Košický,Valaliky,"ZŠ - Valaliky, Hlavná",Hlavná 165,27.4
Základná škola,Košický,Čaňa,"ZŠ - Čaňa, Pionierska",Pionierska 33,42.5
Základná škola,Košický,Budimír,ZŠ s MŠ - Budimír,Budimír 11,24.1
Obchodná akadémia,Košický,Michalovce,"OA - Michalovce, Kapušianska",Kapušianska 2,22.5
Obchodná akadémia,Košický,Košice-Nad jazerom,"OA - Košice, Polárna",Polárna 1,29.7
